date,item_id,total_sales,total_units_ordered
2025-06-05,62,0,0
2025-06-05,64,2161.03,23
2025-06-05,65,930.74,7
2025-06-05,66,0,0
2025-06-05,83,47.35,1
2025-06-05,134,-159.99,-1
2025-06-05,137,296,2
2025-06-05,141,0,0
2025-06-05,142,0,0
2025-06-05,143,329.99,1
2025-06-05,144,152.99,1
2025-06-05,146,177.06,1
2025-06-05,148,566.34,6
2025-06-05,149,211.99,1
2025-06-05,150,671.93,7
2025-06-05,160,0,0
2025-06-05,161,10462.92,161
2025-06-05,258,0,0
2025-06-05,265,258,1
2025-06-05,266,218,1
2025-06-06,0,438,2
2025-06-06,1,249.99,1
2025-06-06,3,777.8,5
2025-06-06,4,398,2
2025-06-06,7,185.99,1
2025-06-06,12,0,0
2025-06-06,13,263.98,2
2025-06-06,14,433.33,1
2025-06-06,15,5369.4,42
2025-06-06,17,4098.93,54
2025-06-06,18,619.87,7
2025-06-06,19,118,1
2025-06-06,21,234.32,3
2025-06-06,22,1242,9
2025-06-06,23,2052,9
2025-06-06,24,1490,5
2025-06-06,25,178,1
2025-06-06,26,1332,9
2025-06-06,27,7804.41,49
2025-06-06,28,3584,28
2025-06-06,29,2999.7,30
2025-06-06,31,195.45,1
2025-06-06,32,396,2
2025-06-06,38,94,1
2025-06-06,48,284.99,1
2025-06-06,49,396,2
2025-06-06,51,124,1
2025-06-06,52,236,2
2025-06-06,54,879.96,4
2025-06-06,56,353.24,2
2025-06-06,58,-65,-1
2025-06-06,59,0,0
2025-06-06,62,159.99,1
2025-06-06,64,5293.8,56
2025-06-06,65,1280,10
2025-06-06,66,504,3
2025-06-06,83,0,0
2025-06-06,133,0,0
2025-06-06,137,1332,9
2025-06-06,141,178,1
2025-06-06,142,207.02,2
2025-06-06,143,0,0
2025-06-06,144,0,0
2025-06-06,146,0,0
2025-06-06,150,588.94,6
2025-06-06,154,1024,8
2025-06-06,160,385.98,2
2025-06-06,161,12469.6,192
2025-06-06,265,0,0
2025-06-06,267,148.5,1
2025-06-07,0,219,1
2025-06-07,4,398,2
2025-06-07,5,97.24,1
2025-06-07,12,178,1
2025-06-07,13,290.99,2
2025-06-07,15,2141.98,16
2025-06-07,17,8212.84,110
2025-06-07,18,1044.77,12
2025-06-07,21,-90.37,-1
2025-06-07,22,718.02,5
2025-06-07,23,1824,8
2025-06-07,24,-298,-1
2025-06-07,25,178,1
2025-06-07,26,575.08,4
2025-06-07,27,8959.44,56
2025-06-07,28,2688,21
2025-06-07,29,3499.65,35
2025-06-07,31,0,0
2025-06-07,33,271.21,1
2025-06-07,34,166.75,1
2025-06-07,38,94,1
2025-06-07,39,159,1
2025-06-07,48,284.99,1
2025-06-07,49,198,1
2025-06-07,51,0,0
2025-06-07,54,0,0
2025-06-07,58,325,5
2025-06-07,61,239.99,1
2025-06-07,62,319.98,2
2025-06-07,64,1994.58,21
2025-06-07,65,128,1
2025-06-07,66,-168,-1
2025-06-07,136,219.99,1
2025-06-07,137,444,3
2025-06-07,139,218,1
2025-06-07,141,178,1
2025-06-07,144,152.99,1
2025-06-07,145,328,1
2025-06-07,146,138,1
2025-06-07,147,158,1
2025-06-07,149,0,0
2025-06-07,150,671.93,7
2025-06-07,151,148,1
2025-06-07,154,757,6
2025-06-07,160,192.99,1
2025-06-07,161,13327.6,206
2025-06-07,267,148.5,1
2025-06-07,266,218,1
2025-06-08,3,473.4,3
2025-06-08,4,796,4
2025-06-08,12,712,4
2025-06-08,15,1745.01,14
2025-06-08,17,7872.9,105
2025-06-08,18,1189.72,14
2025-06-08,21,-20.78,0
2025-06-08,22,828,6
2025-06-08,23,1368,6
2025-06-08,24,1192,4
2025-06-08,25,178,1
2025-06-08,26,740,5
2025-06-08,27,8159.49,51
2025-06-08,28,4096,32
2025-06-08,29,2599.74,26
2025-06-08,31,390.9,2
2025-06-08,33,542.42,2
2025-06-08,38,-94,-1
2025-06-08,44,350,2
2025-06-08,49,198,1
2025-06-08,59,65,1
2025-06-08,64,2682.76,27
2025-06-08,65,1408,11
2025-06-08,66,168,1
2025-06-08,79,48.4,1
2025-06-08,133,258,1
2025-06-08,136,219.99,1
2025-06-08,137,888,6
2025-06-08,142,119,1
2025-06-08,147,158,1
2025-06-08,148,217.98,2
2025-06-08,150,863.91,9
2025-06-08,154,128,1
2025-06-08,161,12220,188
2025-06-08,264,168,1
2025-06-08,265,258,1
2025-06-08,268,258,1
2025-06-09,0,219,1
2025-06-09,3,0,0
2025-06-09,4,597,3
2025-06-09,5,0,0
2025-06-09,6,384.99,1
2025-06-09,12,356,2
2025-06-09,13,0,0
2025-06-09,14,0,0
2025-06-09,15,2422.1,19
2025-06-09,17,5492.6,73
2025-06-09,18,874.81,10
2025-06-09,19,118,1
2025-06-09,21,6263.58,74
2025-06-09,22,799.98,6
2025-06-09,23,1596,7
2025-06-09,24,894,3
2025-06-09,25,493.22,3
2025-06-09,26,1476.64,10
2025-06-09,27,8479.47,53
2025-06-09,28,3072,24
2025-06-09,29,2799.72,28
2025-06-09,31,195.45,1
2025-06-09,33,1083.79,4
2025-06-09,34,0,0
2025-06-09,38,94,1
2025-06-09,39,0,0
2025-06-09,43,269.56,2
2025-06-09,44,175,1
2025-06-09,45,174.99,1
2025-06-09,48,0,0
2025-06-09,49,396,2
2025-06-09,52,0,0
2025-06-09,56,0,0
2025-06-09,58,-130,-2
2025-06-09,59,0,0
2025-06-09,61,239.99,1
2025-06-09,62,155.23,1
2025-06-09,64,2988.39,30
2025-06-09,65,896,7
2025-06-09,66,0,0
2025-06-09,78,92,2
2025-06-09,133,243.99,1
2025-06-09,136,219.99,1
2025-06-09,137,888,6
2025-06-09,139,0,0
2025-06-09,141,356,2
2025-06-09,142,119,1
2025-06-09,144,152.99,1
2025-06-09,145,0,0
2025-06-09,146,138,1
2025-06-09,147,0,0
2025-06-09,148,108.99,1
2025-06-09,149,218,1
2025-06-09,150,383.96,4
2025-06-09,151,0,0
2025-06-09,154,384,3
2025-06-09,160,0,0
2025-06-09,161,9737,150
2025-06-09,264,0,0
2025-06-09,265,0,0
2025-06-09,268,0,0
2025-06-09,267,0,0
2025-06-09,266,0,0
2025-06-10,0,289,1
2025-06-10,1,185.65,1
2025-06-10,3,1014,6
2025-06-10,4,199,1
2025-06-10,5,97.24,1
2025-06-10,6,0,0
2025-06-10,12,178,1
2025-06-10,14,433.33,1
2025-06-10,15,4672.37,36
2025-06-10,17,4130.37,55
2025-06-10,18,-424.9,-5
2025-06-10,19,0,0
2025-06-10,21,7354.58,88
2025-06-10,22,1239.9,10
2025-06-10,23,1368,6
2025-06-10,24,607.99,2
2025-06-10,25,356,2
2025-06-10,26,2806.96,19
2025-06-10,27,6719.58,42
2025-06-10,28,3968,31
2025-06-10,29,2499.75,25
2025-06-10,30,274,1
2025-06-10,32,198,1
2025-06-10,33,1080.64,4
2025-06-10,38,188,2
2025-06-10,43,0,0
2025-06-10,44,0,0
2025-06-10,45,0,0
2025-06-10,48,0,0
2025-06-10,49,0,0
2025-06-10,52,236,2
2025-06-10,58,-130,-2
2025-06-10,59,780,12
2025-06-10,61,0,0
2025-06-10,64,2656.47,28
2025-06-10,65,768,6
2025-06-10,66,504,3
2025-06-10,78,0,0
2025-06-10,133,243.99,1
2025-06-10,136,0,0
2025-06-10,137,444,3
2025-06-10,141,0,0
2025-06-10,144,0,0
2025-06-10,145,328,1
2025-06-10,146,0,0
2025-06-10,148,0,0
2025-06-10,149,0,0
2025-06-10,150,1330.79,15
2025-06-10,154,128,1
2025-06-10,160,579.48,3
2025-06-10,161,6234.8,96
2025-06-10,165,97.99,1
2025-06-10,248,189.98,2
2025-06-10,265,516,2
2025-06-11,0,876,4
2025-06-11,1,199.99,1
2025-06-11,3,507,3
2025-06-11,4,398,2
2025-06-11,5,0,0
2025-06-11,7,185.99,1
2025-06-11,12,178,1
2025-06-11,13,0,0
2025-06-11,15,5888,46
2025-06-11,17,3174.17,41
2025-06-11,18,934.78,11
2025-06-11,21,11490.32,144
2025-06-11,22,1740.86,14
2025-06-11,23,2052,9
2025-06-11,24,298,1
2025-06-11,25,178,1
2025-06-11,26,1920.64,13
2025-06-11,27,5431.92,34
2025-06-11,28,2688,21
2025-06-11,29,3644.75,37
2025-06-11,30,274,1
2025-06-11,31,195.45,1
2025-06-11,32,198,1
2025-06-11,33,0,0
2025-06-11,38,0,0
2025-06-11,49,198,1
2025-06-11,52,0,0
2025-06-11,58,130,2
2025-06-11,59,0,0
2025-06-11,64,2643.98,28
2025-06-11,65,896,7
2025-06-11,66,672,4
2025-06-11,133,487.98,2
2025-06-11,136,219.99,1
2025-06-11,137,148,1
2025-06-11,139,218,1
2025-06-11,141,0,0
2025-06-11,142,476,4
2025-06-11,145,328,1
2025-06-11,148,539.52,5
2025-06-11,149,423.98,2
2025-06-11,150,479.95,5
2025-06-11,154,512,4
2025-06-11,160,0,0
2025-06-11,161,390,6
2025-06-11,269,212.21,1
2025-06-11,265,0,0
2025-06-12,0,219,1
2025-06-12,1,199.99,1
2025-06-12,3,1014,6
2025-06-12,4,597,3
2025-06-12,12,712,4
2025-06-12,15,8188.17,64
2025-06-12,17,7155.66,96
2025-06-12,18,1019.76,12
2025-06-12,21,19400.38,242
2025-06-12,22,1601.82,13
2025-06-12,23,1441.98,6
2025-06-12,24,1169.36,4
2025-06-12,26,1167.08,8
2025-06-12,27,7801.28,49
2025-06-12,28,5632,44
2025-06-12,29,3299.67,33
2025-06-12,30,548,2
2025-06-12,31,195.45,1
2025-06-12,32,396,2
2025-06-12,33,270.16,1
2025-06-12,34,208,1
2025-06-12,39,477,3
2025-06-12,43,539.12,4
2025-06-12,48,284.99,1
2025-06-12,51,248,2
2025-06-12,54,219.99,1
2025-06-12,58,65,1
2025-06-12,59,65,1
2025-06-12,64,5198.02,55
2025-06-12,65,256,2
2025-06-12,66,1008,6
2025-06-12,133,0,0
2025-06-12,136,219.99,1
2025-06-12,137,1480,10
2025-06-12,139,0,0
2025-06-12,142,119,1
2025-06-12,143,659.98,2
2025-06-12,144,305.98,2
2025-06-12,145,0,0
2025-06-12,147,158,1
2025-06-12,148,326.97,3
2025-06-12,149,0,0
2025-06-12,150,479.95,5
2025-06-12,153,436,2
2025-06-12,154,512,4
2025-06-12,161,3423.04,52
2025-06-12,254,359.92,2
2025-06-12,265,516,2
2025-06-13,0,876,4
2025-06-13,1,0,0
2025-06-13,3,676,4
2025-06-13,4,796,4
2025-06-13,10,638,2
2025-06-13,12,1271.94,6
2025-06-13,14,866.66,2
2025-06-13,15,18342.88,148
2025-06-13,17,9049.68,122
2025-06-13,18,1019.76,12
2025-06-13,21,46654.18,604
2025-06-13,22,4435.62,36
2025-06-13,23,6813.96,30
2025-06-13,24,596,2
2025-06-13,25,0,0
2025-06-13,26,2072,14
2025-06-13,27,16242.52,102
2025-06-13,28,7424,58
2025-06-13,29,5580.6,56
2025-06-13,30,0,0
2025-06-13,31,1563.6,8
2025-06-13,32,396,2
2025-06-13,33,2161.28,8
2025-06-13,34,0,0
2025-06-13,38,188,2
2025-06-13,39,1590,10
2025-06-13,43,2156.48,16
2025-06-13,49,855.98,4
2025-06-13,51,0,0
2025-06-13,54,351.98,2
2025-06-13,58,-177.58,-2
2025-06-13,59,260,4
2025-06-13,64,4938.96,52
2025-06-13,65,1536,12
2025-06-13,66,1344,8
2025-06-13,133,487.98,2
2025-06-13,136,467.48,2
2025-06-13,137,1776,12
2025-06-13,141,1068,6
2025-06-13,142,476,4
2025-06-13,143,0,0
2025-06-13,144,0,0
2025-06-13,145,656,2
2025-06-13,147,316,2
2025-06-13,148,217.98,2
2025-06-13,149,847.96,4
2025-06-13,150,2687.72,28
2025-06-13,153,0,0
2025-06-13,154,2048,16
2025-06-13,160,386.32,2
2025-06-13,161,2030.72,32
2025-06-13,269,424.42,2
2025-06-13,265,516,2
2025-06-14,0,0,0
2025-06-14,3,-270.8,-2
2025-06-14,4,1990,10
2025-06-14,11,367.98,2
2025-06-14,12,-423.98,-2
2025-06-14,14,866.66,2
2025-06-14,15,11184.74,88
2025-06-14,17,11268.22,156
2025-06-14,18,849.8,10
2025-06-14,21,29065.82,350
2025-06-14,22,4451.56,36
2025-06-14,23,1368,6
2025-06-14,24,3003.98,10
2025-06-14,25,356,2
2025-06-14,26,3814.44,26
2025-06-14,27,12799.2,80
2025-06-14,28,6912,54
2025-06-14,29,7399.26,74
2025-06-14,32,792,4
2025-06-14,33,540.32,2
2025-06-14,34,416,2
2025-06-14,38,0,0
2025-06-14,39,318,2
2025-06-14,43,0,0
2025-06-14,44,350,2
2025-06-14,45,308,2
2025-06-14,49,0,0
2025-06-14,58,-130,-2
2025-06-14,64,5698.8,60
2025-06-14,65,837.48,6
2025-06-14,66,0,0
2025-06-14,133,0,0
2025-06-14,136,0,0
2025-06-14,137,665.98,4
2025-06-14,141,0,0
2025-06-14,142,238,2
2025-06-14,144,917.94,6
2025-06-14,148,0,0
2025-06-14,149,423.98,2
2025-06-14,150,959.9,10
2025-06-14,154,492,4
2025-06-14,161,1170,18
2025-06-14,254,0,0
2025-06-14,266,436,2
